[2019-01-31 23:27:08.095777] get_by_addr(): assigning domain[www.nhfpc.gov.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.095777] get_by_addr(): assigning domain[www.17u.net] to addr[127.0.0.1]
[2019-01-31 23:27:08.096776] get_by_addr(): assigning domain[news.iautos.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.096776] get_by_addr(): assigning domain[bbs1.people.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.096776] get_by_addr(): assigning domain[www.utusan.com.my] to addr[127.0.0.1]
[2019-01-31 23:27:08.096776] get_by_addr(): assigning domain[www.51766.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.096776] get_by_addr(): assigning domain[gz.house.ifeng.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.096776] get_by_addr(): assigning domain[www.oschina.net] to addr[127.0.0.1]
[2019-01-31 23:27:08.096776] get_by_addr(): assigning domain[www.alluc.org] to addr[127.0.0.1]
[2019-01-31 23:27:08.097774] get_by_addr(): assigning domain[bbs.163.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.097774] get_by_addr(): assigning domain[www.tianya.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.097774] get_by_addr(): assigning domain[www.dangdang.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.097774] get_by_addr(): assigning domain[www.liepin.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.097774] get_by_addr(): assigning domain[www.lagou.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.097774] get_by_addr(): assigning domain[www.qiuyi.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.097774] get_by_addr(): assigning domain[www.lifetv.com.my] to addr[127.0.0.1]
[2019-01-31 23:27:08.097774] get_by_addr(): assigning domain[www.games.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.098776] get_by_addr(): assigning domain[www.eyeasia.com.my] to addr[127.0.0.1]
[2019-01-31 23:27:08.098776] get_by_addr(): assigning domain[xinhuanet.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.098776] get_by_addr(): assigning domain[www.gov.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.098776] get_by_addr(): assigning domain[www.sasa.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.098776] get_by_addr(): assigning domain[gmw.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.098776] get_by_addr(): assigning domain[wikipedia.org] to addr[127.0.0.1]
[2019-01-31 23:27:08.098776] get_by_addr(): assigning domain[www.facebook.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.099774] get_by_addr(): assigning domain[www.eastmoney.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.099774] get_by_addr(): assigning domain[study.163.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.099774] get_by_addr(): assigning domain[link.springer.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.099774] get_by_addr(): assigning domain[www.aihuishou.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.099774] get_by_addr(): assigning domain[www.jiayuan.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.099774] get_by_addr(): assigning domain[www.egouz.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.100775] get_by_addr(): assigning domain[www.91.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.100775] get_by_addr(): assigning domain[www.xueda.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.100775] get_by_addr(): assigning domain[www.moonbasa.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.100775] get_by_addr(): assigning domain[www.fmqu.net] to addr[127.0.0.1]
