[2019-02-06 09:44:03.209240] PriQueue successfully get links from disk
[2019-02-06 09:44:03.461889] manager start running at: [2019-02-06 09:44:03.461889]
[2019-02-06 10:12:10.286567] Connection established: ('127.0.0.1', 9747)
[2019-02-06 10:12:10.289570] get_by_addr(): assigning domain[www.cf.qq.com] to addr[127.0.0.1]
[2019-02-06 10:12:10.290570] get_by_addr(): assigning domain[www.abconline.de] to addr[127.0.0.1]
[2019-02-06 10:12:10.290570] get_by_addr(): assigning domain[www.xinhuanet.com] to addr[127.0.0.1]
[2019-02-06 10:12:10.290570] get_by_addr(): assigning domain[www.hao123.com] to addr[127.0.0.1]
[2019-02-06 10:12:10.290570] get_by_addr(): assigning domain[www.benlai.com] to addr[127.0.0.1]
[2019-02-06 10:12:10.291571] get_by_addr(): assigning domain[image.baidu.com] to addr[127.0.0.1]
[2019-02-06 10:12:10.291571] get_by_addr(): assigning domain[www.heiyan.com] to addr[127.0.0.1]
[2019-02-06 10:12:10.291571] get_by_addr(): assigning domain[v.ifeng.com] to addr[127.0.0.1]
[2019-02-06 10:12:10.292569] get_by_addr(): assigning domain[www.pharmnet.com.cn] to addr[127.0.0.1]
[2019-02-06 10:12:10.292569] get_by_addr(): assigning domain[music.163.com] to addr[127.0.0.1]
[2019-02-06 10:12:10.292569] get_by_addr(): assigning domain[www.qyer.com] to addr[127.0.0.1]
[2019-02-06 10:12:10.292569] get_by_addr(): assigning domain[www.qdmm.com] to addr[127.0.0.1]
[2019-02-06 10:12:10.292569] get_by_addr(): assigning domain[www.liepin.com] to addr[127.0.0.1]
[2019-02-06 10:12:10.292569] get_by_addr(): assigning domain[www.cscse.edu.cn] to addr[127.0.0.1]
[2019-02-06 10:12:10.292569] get_by_addr(): assigning domain[auto.qq.com] to addr[127.0.0.1]
[2019-02-06 10:12:10.293568] get_by_addr(): assigning domain[video.baidu.com] to addr[127.0.0.1]
[2019-02-06 10:12:10.293568] get_by_addr(): assigning domain[www.zhcw.com] to addr[127.0.0.1]
[2019-02-06 10:12:10.293568] get_by_addr(): assigning domain[www.v1.cn] to addr[127.0.0.1]
[2019-02-06 10:12:10.293568] get_by_addr(): assigning domain[tuijian.hao123.com] to addr[127.0.0.1]
[2019-02-06 10:12:10.293568] get_by_addr(): assigning domain[www.universalmusic.com] to addr[127.0.0.1]
